Utility Characteristics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Number and Capacity,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Capacity by Technology Type (MW),Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
Data Year,Utility Number,Utility Name,State,Number of Generators,Total Capacity in MWs,Capacity Back-up Only,Capacity Utility Owned,Estimated or Actual Data,Internal Combustion Engine,Combusiton Turbine,Steam Turbine,HydroElectric,Wind,Photovoltaic,Storage,Other,Total,Estimated or Actual Data
2014,9324,Indiana Michigan Power Co,IN,5,1,0,0,A,0,0.1,0,0,0.9,0,0,0,1,A
2014,9417,Interstate Power and Light Co,IA,252,4.1,.,.,A,.,.,.,1.5,0.8,0.8,.,1,4.1,A
2014,9417,Interstate Power and Light Co,MN,1,0.9,.,.,A,.,.,.,.,0.9,.,.,.,0.9,A
2014,9575,Jackson Energy Coop Corp - (KY),KY,2,1.8,0,0,,1.8,.,.,.,.,.,.,.,1.8,
2014,9601,Jackson Electric Member Corp - (GA),GA,1,0.1,0,0,A,0,0,0,0,0,0.1,0,0,0.1,A
2014,9612,City of Jackson - (TN),TN,13,1.31,0,0,A,0,0,0,0,0,1.31,0,0,1.31,A
2014,9690,Jefferson Utilities,WI,1,0.1,.,.,A,.,0,0,0,0,0.1,0,.,0.1,A
2014,9697,City of Jellico,KY,5,0.02,0,0,A,0,0,0,0,0,0.02,0,0,0.02,A
2014,9697,City of Jellico,TN,3,0.15,0,0,A,0,0,0,0,0,0.15,0,0,0.15,A
2014,9739,Joe Wheeler Elec Member Corp,AL,8,1.75,0,0,A,0,0,0,0,0,0.04,0,1.71,1.75,A
2014,9750,Jo-Carroll Energy Coop Inc,IL,1,0.4,0,0,A,.,.,.,.,.,0.4,.,.,0.4,A
2014,9777,Johnson City - (TN),TN,60,1.66,0,0,A,0,0,0,0,0,0.73,0,0.93,1.66,A
2014,9778,Johnson County Rural E M C,IN,1,0.8,0.8,0,A,0.8,.,.,.,.,.,.,.,0.8,A
2014,9936,Juneau Utility Comm,WI,1,0.1,.,.,A,.,0,0,0,0,0.1,0,.,0.1,A
2014,10000,Kansas City Power & Light Co,KS,15,0.9,0.6,0,E,0.8,.,.,.,0,0.1,.,.,0.9,E
2014,10000,Kansas City Power & Light Co,MO,72,1,0,0,E,.,.,.,.,0,1,.,0,1,E
2014,10056,City of Kaukauna,WI,17,0.1,.,0.1,A,.,0,0,0,0,0.1,0,.,0.1,A
2014,10071,Kauai Island Utility Cooperative,HI,205,10.8,.,.,A,.,2.1,.,.,.,8.7,.,.,10.8,A
2014,10331,Kingsport Power Co,TN,1,0.03,0,0,A,0,0,0,0,0,0.03,0,0,0.03,A
2014,10421,Knoxville Utilities Board,TN,86,2.42,0,0,A,0,0,0,0,0,2.42,0,0,2.42,A
2014,10558,"LaCreek Electric Assn, Inc",SD,21,0.1,.,.,E,.,.,.,.,0.1,.,.,.,0.1,
2014,10579,City of LaFollette,TN,13,0.56,0,0,A,0,0,0,0,0,0.56,0,0,0.56,A
2014,10605,Lake Mills Light & Water,WI,3,0.1,.,.,A,.,0,0,0,0,0.1,0,.,0.1,A
2014,10624,Southern Rivers Energy,GA,4,0.008,0,0,E,0,0,0,0,0,0.008,0,0,0.008,E
2014,10799,City of Lawrenceburg,TN,12,0.1,0,0,A,0,0,0,0,0,0.1,0,0,0.1,A
2014,10906,City of Lenoir - (TN),TN,49,1.25,0,0,A,0,0,0,0,0,1.25,0,0,1.25,A
2014,10966,City of Lexington - (NC),NC,7,1.9,1.9,0,A,1.9,.,.,.,.,0,.,.,1.9,A
2014,10968,City of Lexington - (TN),TN,10,0.04,0,0,A,0,0,0,0,0,0.04,0,0,0.04,A
2014,11018,Lincoln Electric System,NE,1,0.5,0,0,A,0.5,.,.,.,.,.,.,.,0.5,A
2014,11125,City of Lodi - (WV),WI,1,0.1,.,0.1,A,.,0,0,0,0,0.1,0,.,0.1,A
2014,11135,City of Logan - (UT),UT,3,1.5,.,1.5,E,.,0,.,1.5,.,0,.,.,1.5,E
2014,11171,Long Island Power Authority,NY,87,17.4,.,.,A,6.8,0.7,.,.,.,9.6,.,0.3,17.4,A
2014,11187,City of Longmont,CO,2,0.5,0,0.5,A,.,.,.,0.5,.,.,.,.,0.5,A
2014,11222,Loudon Utilities Board,TN,7,0.34,0,0,A,0,0,0,0,0,0.34,0,0,0.34,A
2014,11247,Louisville Electric System,MS,1,0.06,0,0,A,0,0,0,0,0,0.06,0,0,0.06,A
2014,11291,Lumbee River Elec Member Corp,NC,9,0.5,0,0,A,.,.,.,.,.,0.5,.,.,0.5,A
2014,11345,Lyon-Lincoln Electric Coop Inc,MN,7,0.2,.,.,A,.,.,.,.,0.2,.,.,.,0.2,A
2014,11479,Madison Gas & Electric Co,WI,259,59.5,39.8,39.9,A,39.8,0,0.5,0,10,1.1,0,8.1,59.5,A
2014,11566,City of Mangum - (OK),OK,6,5.9,.,.,A,.,.,.,.,.,.,.,.,5.9,A
2014,11571,Manitowoc Public Utilities,WI,2,0.4,0,0.4,A,.,.,.,.,0.1,0.3,.,.,0.4,A
2014,11788,Consumers Energy,IA,1,0,0,0,A,.,.,.,.,0,.,.,.,0,A
2014,11789,Maryville Utilities,TN,11,0.13,0,0,A,0,0,0,0,0,0.13,0,0,0.13,A
