,Year,Month,Event date,Event time,Restoration date,Restoration time,Duration,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,Unnamed: 14
122,2014,10,10/22/14 22:46,,10/22/14 22:47,,"0 Hours,1 Minutes",ISO New England,NPCC,"Connecticut, Vermont,Massachusetts, Rhode Island,,New Hampshire, Maine,","Severe Weather,nan,nan",Unknown,66650,
123,2014,10,10/25/14,4:00 PM,10/25/14 22:00,,"6 Hours,0 Minutes",Portland General Electric Co,WECC,"Oregon,Greater Portland and Salem,","Severe Weather - Wind,nan",216,78000,
124,2014,10,10/25/14,6:00 PM,,ongoing,nanongoing,Puget Sound Energy,WECC,"Washington,and Kitsap County,,King County, Thurston County","Severe Weather - Wind,nan,nan",154,96000,
125,2014,11,11/2/14,1:46 PM,,ongoing,nanongoing,ISO New England,NPCC,"Rhode Island, Connecticut,Vermont, New Hampshire,,Massachusetts, Maine,","Severe Weather - Winter Storm,nan,nan",Unknown,63719,
126,2014,11,11/11/14,6:00 PM,11/14/14,3:00 PM,"69 Hours,0 Minutes",Puget Sound Energy,WECC,Washington,Severe Weather - Wind,132,68000,
127,2014,11,11/14/14,9:50 AM,11/14/14,1:18 PM,"3 Hours, 28 Minutes",Portland General Electric Co,WECC,"Estacada, Oregon",Electrical System Islanding,1,123,
128,2014,11,11/24/14 0:00,,,ongoing,nanongoing,Southwestern Public Service Company,SPP,"Mexico,Arkansas, Louisiana, New,Nebraska, Kansas, Texas,","Fuel Supply Emergency - Coal,nan,nan",Unknown,Unknown,
129,2014,11,11/24/14 12:00,,11/27/14,1:00 PM,"73 Hours,0 Minutes",Detroit Edison Co,RFC,Michigan,Severe Weather - Wind,Unknown,186154,
130,2014,11,11/26/14,5:50 PM,11/28/14,7:00 AM,"37 Hours, 10 Minutes",ISO New England,NPCC,"Island, Connecticut, Vermont,Massachusetts, Maine, Rhode,New Hampshire,","Severe Weather - Winter Storm,nan,nan",Unknown,79530,
131,2014,12,12/11/14,6:40 AM,,ongoing,nanongoing,Pacific Gas & Electric Co,WECC,Northern California,Severe Weather- High Winds,Unknown,Unknown,
132,2014,12,12/11/14,7:21 AM,12/11/14,9:53 PM,"14 Hours, 32 Minutes",Pacific Gas & Electric Co,WECC,"San Francisco, California,nan","Unknown Cause,Distribution Interruption -",225,75000,
133,2014,12,12/11/14,4:05 PM,12/11/14,9:00 PM,"4 Hours, 55 Minutes",Portland General Electric Co,WECC,"Portland, Oregon",Severe Weather- High Winds,250,85470,
134,2014,12,12/11/14,5:00 PM,12/12/14 10:00,,"17 Hours,0 Minutes",Puget Sound Energy,WECC,"counties Washington,Kitsap, Thurston, Whatcom","Severe Weather- High Winds,nan",116,264000,
135,2014,12,12/11/14 23:15,,,ongoing,nanongoing,Pacific Gas & Electric Co,WECC,Northern California,Severe Weather- High Winds,Unknown,Unknown,
136,2014,12,12/30/14,1:08 PM,1/1/15,4:50 PM,"51 Hours, 42 Minutes",Pacific Gas & Electric Co,WECC,Northern California,Severe Weather- High Winds,127,84500,
