Data Year,Utility Number,Utility Name,Ownership Code,Ownership,Monthly,Short Form,Advanced Metering,Demand Response,Distribution Systems,Dynamic Pricing,Energy Efficiency,Mergers,Net Metering,Non Net Metering Distributed,Operational Data,Reliablity,Sales to Ultimate Customers,Service Territory,Utility Data
2017,13762,"Northern Neck Elec Coop, Inc",C,Cooperative,,,X,X,X,X,,,X,,X,,X,X,X
2017,13777,Northern Rio Arriba E Coop Inc,C,Cooperative,,X,X,,,,,,,,,,,X,
2017,13780,Northern States Power Co - Wisconsin,I,Investor Owned,X,,X,X,X,X,X,,,,X,X,X,X,X
2017,13781,Northern States Power Co - Minnesota,I,Investor Owned,X,,X,X,X,X,X,,X,,X,X,X,X,X
2017,13782,City of New Ross - (IN),M,Municipal,,X,,,,,,,,,,,,X,
2017,13783,Northeast Louisiana Power Coop Inc.,C,Cooperative,,,X,,X,,,,X,,X,X,X,X,X
2017,13788,Northern Wasco County PUD,P,Political Subdivision,,,X,,X,,X,,X,,X,X,X,X,X
2017,13789,Village of Northfield - (VT),M,Municipal,,,X,,X,,,,X,,X,X,X,X,X
2017,13798,Northwest Iowa Power Coop,C,Cooperative,,,,X,,,X,,,,X,,,,X
2017,13799,Prairie Land Electric Coop Inc,C,Cooperative,,,X,,X,X,,,X,,X,,X,X,X
2017,13805,Northwest Rural Pub Pwr Dist,P,Political Subdivision,,,X,,X,X,,,X,,X,X,X,X,X
2017,13807,Northwestern Electric Coop Inc - (OK),C,Cooperative,,,X,,X,,,,,X,X,,X,X,X
2017,13809,NorthWestern Energy - (SD),I,Investor Owned,X,,X,,X,,,,,,X,X,X,X,X
2017,13815,Northwestern Wisconsin Elec Co,I,Investor Owned,X,,X,X,X,X,,,X,X,X,,X,X,X
2017,13816,City of Northwood - (ND),M,Municipal,,X,X,,,,,,,,,,,X,
2017,13819,City of Norton,M,Municipal,,X,,,,,,,,,,,,X,
2017,13825,Norwalk Third Taxing District,M,Municipal,,,X,,X,,,,,,X,,X,X,X
2017,13826,City of Norway,M,Municipal,,,X,,X,,,,X,,X,,X,X,X
2017,13830,"Nueces Electric Coop, Inc",C,Cooperative,X,,X,,X,,,,,,X,X,X,X,X
2017,13831,City of Norwich - (CT),M,Municipal,,,X,,X,,,,X,,X,X,X,X,X
2017,13838,"Northfork Electric Coop, Inc",C,Cooperative,,,X,X,X,,X,,X,,X,X,X,X,X
2017,13839,City of Norwood - (MA),M,Municipal,,,X,X,X,,X,,,,X,,X,X,X
2017,13853,Oahe Electric Coop Inc,C,Cooperative,,,X,,X,,,,,,X,,X,X,X
2017,13870,"Nushagak Electric Coop, Inc",C,Cooperative,,X,X,,,,,,,,,,,X,
2017,13931,Town of Oak City - (NC),M,Municipal,,X,,,,,,,,,,,,X,
