,Year,Month,Event date and time,Restoration date and time,Duration,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,Unnamed: 12
2022,4,04/23/2022 3:38 PM,04/24/2022 4:00 AM,"12 Hours, 22 Minutes",,Mountrail-Williams Elec Coop,MRO,"County, Williams County;",Severe Weather,,480,18430
,,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,,"within its area, contrary to",,,
,,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,,Electric System Facilities,,,
,,,,,,,,,caused by a common,,,
,,,,,,,,,disturbance (excluding,,,
,,,,,,,SERC/MR,"Iowa: Polk County, Warren",successful automatic,,,
2022,4,04/23/2022 7:42 PM,04/24/2022 4:17 PM,"20 Hours, 35 Minutes",,MidAmerican Energy Co,O,County; Illinois:,reclosing).-Severe Weather,,43,22400
,,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,,"within its area, contrary to",,,
,,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,,Electric System Facilities,,,
,,,,,,,,,caused by a common,,,
,,,,,,,,,disturbance (excluding,,,
,,,,,,,,North Carolina: South,successful automatic,,,
2022,4,04/28/2022 7:56 AM,04/28/2022 8:48 AM,,"0 Hours, 52 Minutes",Duke Energy Carolinas,SERC,Carolina:,reclosing).-System Operations,,74,Unknown
,,,,,,,,,,,2/27/2023 12:01:01 PM,
"Table B.1 Major Disturbances and Unusual Occurrences, Year-to-Date 2022",,,,,,,,,,,,
,,,,,,,,,,,,Number of
Restoration Date and,,,,,,,NERC,,,,Customers,
Year,Month,Event Date and Time,Time,,Duration,Utility/Power Pool,Region,Area Affected,Type of Disturbance,Loss (megawatts),,Affected
,,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,,"within its area, contrary to",,,
,,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,,Electric System Facilities,,,
,,,,,,,,,caused by a common,,,
,,,,,,,,,disturbance (excluding,,,
,,,,,,,,,successful automatic,,,
,,,,,,,,,reclosing).-Transmission,,,
2022,5,05/05/2022 1:06 PM,05/05/2022 2:06 PM,,"1 Hours, 0 Minutes",Entergy - Transmission Operations Engineering,SERC,Arkansas:,,Interruption,Unknown,0
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
2022,5,05/11/2022 6:00 PM,05/11/2022 10:42 PM,,"4 Hours, 42 Minutes",Northern States Power Co,MRO,Minnesota:,hour or more-Severe Weather,Unknown,,105000
,,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,,"within its area, contrary to",,,
,,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,,Electric System Facilities,,,
,,,,,,,,,caused by a common,,,
,,,,,,,,,disturbance (excluding,,,
,,,,,,,,,successful automatic,,,
,,,,,,,,"Missouri: Barry County, Dade",reclosing).-Transmission,,,
2022,5,05/12/2022 10:44 AM,05/12/2022 1:34 PM,,"2 Hours, 50 Minutes",Empire District Electric Co,SERC,"County, Lawrence County;",,Interruption,800,0
,,,,,,,,,Unexpected Transmission loss,,,
