Utility Characteristics,,,,,,Also operating in other NERC Regions,,,,,,,,Operating in these RTOs,,,,,,,,Other Activities,,,,,,,,,
Data Year,Utility Number,Utility Name,State,Ownership Type,NERC Region,TRE,FRCC,MRO,NPCC,RFC,SERC,SPP,WECC,CAISO,ERCOT,PJM,NYISO,SPP,MISO,ISONE,Other,Generation,Transmission,Buying Transmission,Distribution,Buying Distribution,Wholesale Marketing,Retail Marketing,Bundled,Alt Fuel Vehicle,Alt Fuel Vehicle 2
2017,1869,City of Bloomfield - (IA),IA,Municipal,SERC,,,,,,Y,,,,,,,,,,,Y,,,Y,,,N,N,Y,Y
2017,1883,Blue Earth Light & Water,MN,Municipal,MRO,,,Y,,,,,,,,,,,Y,,,Y,Y,Y,Y,,,Y,Y,,
2017,1884,BENCO Electric Cooperative,MN,Cooperative,MRO,,,Y,,,,,,,,,,,Y,,,,,,Y,,,,,Y,Y
2017,1886,Blue Grass Energy Coop Corp,KY,Cooperative,RFC,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,
2017,1889,Blue Ridge Elec Member Corp - (NC),NC,Cooperative,SERC,,,,,,Y,,,,,,,,,,Y,,N,,Y,,,,,Y,Y
2017,1890,Blue Ridge Electric Coop Inc - (SC),SC,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2017,1891,Blue Ridge Mountain EMC - (GA),GA,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2017,1892,"Bluebonnet Electric Coop, Inc",TX,Cooperative,TRE,Y,,,,,,,,,Y,,,,,,,,Y,Y,Y,,,,,Y,Y
2017,1896,City of Bluffton - (IN),IN,Municipal,RFC,,,,,Y,,,,,,,,,,,Y,N,,,Y,,,,Y,,
2017,1898,"Bon Homme Yankton El Assn, Inc",SD,Cooperative,MRO,,,,,,,,,,,,,,,,,,,,Y,,,,,,
2017,1913,City of Boerne,TX,Municipal,TRE,Y,,,,,,,,,Y,,,,,,N,,,,N,,,,Y,,
2017,1936,Bolivar Energy Authority,TN,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2017,1997,City of Boscobel - (WI),WI,Municipal,MISO,,,Y,,N,,,,,,,,,Y,,,,,,Y,,,,,Y,Y
2017,2001,Boone Electric Coop,MO,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2017,2008,City of Boulder City - (NV),NV,Municipal,WECC,,,,,,,,Y,,,,,,,,Y,,,,Y,,,,Y,Y,Y
2017,2010,City of Bountiful,UT,Municipal,WECC,,,,,,,,Y,,,,,,,,,Y,,,Y,,,,,,
2017,2049,"Bowie-Cass Electric Coop, Inc",TX,Cooperative,SPP,,,,,,,Y,,,,,,Y,,,,,Y,,Y,Y,,Y,,,
2017,2054,City of Bowling Green - (OH),OH,Municipal,RFC,,,,,Y,,,,,,,,,,,,,,,Y,,,,,N,N
2017,2056,City of Bowling Green - (KY),KY,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2017,2089,Bozrah Light & Power Company,CT,Municipal,NPCC,,,,Y,,,,,,,,,,,Y,,,,,Y,,,,,Y,Y
2017,2138,Brainerd Public Utilities,MN,Municipal,MRO,,,Y,,,,,,,,,,,Y,,,Y,,,Y,,,,Y,,
2017,2144,Town of Braintree - (MA),MA,Municipal,NPCC,,,,Y,,,,,,,,,,,Y,,Y,Y,Y,Y,,N,N,Y,Y,Y
2017,2152,Powerex Corporation,CN,Wholesale Power Marketer,WECC,,,,,,,,,,,,,,,,,,,Y,,,Y,,,,
2017,2172,Brazos Electric Power Coop Inc,TX,Cooperative,TRE,Y,,,,,,,,,Y,,,,,,,Y,Y,Y,,,,,,,
2017,2182,City of Breckenridge- (MN),MN,Municipal,MRO,,,Y,,,,,,,,,,,Y,,N,,,,Y,,,,Y,,
2017,2192,Bremen Electric Light & Power Co,IN,Municipal,RFC,,,,,Y,,,,,,,,,Y,,,,,,Y,,,,,,
2017,2194,City of Brenham - (TX),TX,Municipal,TRE,Y,,,,,,,,,,,,,,,,,,,Y,,,,,,Y
2017,2206,City of Brewster - (MN),MN,Municipal,MRO,,,Y,,,,,,,,,,,,,,,,,Y,,,,,,
2017,2212,"Broad River Electric Coop, Inc",SC,Cooperative,SERC,,,,,,Y,,,,,,,,,,Y,N,,,Y,,,,,,
2017,2215,"Bridger Valley Elec Assn, Inc",WY,Cooperative,WECC,,,,,,,,Y,,,,,,,,Y,,,,Y,,,,,N,
2017,2220,Brigham City Corporation,UT,Municipal,WECC,,,,,,,,Y,,,,,,,,Y,Y,N,,Y,,,,,,
2017,2247,City of Bristol - (TN),TN,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2017,2248,Bristol Virginia Utilities,VA,Municipal,SERC,,,,,N,Y,,,,,,,,,,,,,,Y,,,,Y,N,N
2017,2273,Brodhead Water & Lighting Comm,WI,Municipal,MISO,,,Y,,N,,,,,,,,,Y,,,,,,Y,,,,,,
2017,2277,City of Broken Bow - (NE),NE,Municipal,MRO,,,Y,,,,,,,,,,Y,Y,,,Y,,,Y,,,,,,
